authors,created,description,id,is_prerelease,last_updated,listed,summary,tags,total_downloads,verified,version
"XAct Software Solutions,Inc.",2012-04-11T09:27:58.957Z,"An XActLib Assembly: library for working with Zip Packages (Compression + Structure). A poor man's Zip Solution, that requires no external assemblies beyond .NET. See DotNetZip for better functionality.",XAct.IO.Compression.ZipPackage,False,2017-02-08T17:57:22.977-08:00,True,,"XAct,XActLib",89506,False,0.0.304
hashfoo,2012-04-12T00:01:00.913Z,Core function library that runs on all .NET platforms,HashFoo.Core.Portable,False,2012-05-15T05:34:04.373-07:00,True,,"hashfoo,utility",9430,False,0.2.4484.32428
"Udi Dahan,Andreas Ohlund,Jonathan Matheus,Jonathan Oliver et al",2012-04-12T12:00:10.59Z,The tools to configure the nservicebus,NServiceBus.Tools-CI,False,1899-12-31T16:00:00-08:00,False,,"nservicebus,servicebus,msmq,cqrs,publish,subscribe",-1,False,3.0.2174
Violet-Tape,2012-04-11T07:12:12.603Z,Helps with async declaration. Async.For(your_method_here).Subscribe(on_Complete_Method).Run(),MakeMeAsync,False,2012-07-20T00:21:55.057-07:00,True,,"Async,FluentInterface",3329,False,1.0.1.2
Devart Software,2012-04-13T06:03:09.057Z,dotConnect Express for MySQL is a free of charge enhanced database connectivity solution built over ADO.NET architecture and a development framework with a number of innovative technologies. dotConnect offers a complete solution for developing database-related applications and web sites. It introduces new approaches for designing applications and boosts productivity of database application development.,dotConnect.Express.for.MySQL,False,2018-03-30T10:56:48.017+00:00,True,dotConnect Express for MySQL is a free of charge enhanced database connectivity solution built over ADO.NET architecture and a development framework with a number of innovative technologies.,"MySQL,ADO.NET,provider,Database",40306,False,6.80.341
Elder Santos,2012-04-13T21:25:41.647Z,"Fast Colored TextBox for Syntax Highlighting
It is a project owned by http://www.codeproject.com/Members/PavelTorgashov I just create a nuget package for it",FastColoredTextBox,False,1899-12-31T16:00:00-08:00,False,,"textbox,color,highlight",-1,False,1.0.0
Matthew Schrager,2012-04-12T14:34:42.363Z,A generic implementation for the repository pattern.,Repository,False,2016-02-23T13:37:48.5-08:00,True,,"Tag1,Tag2",29331,False,1.0.0.5
GeertvanHorrik,2012-04-13T17:23:54.25Z,"Catel.Extensions.Controls library which contains user controls, such as the StackGrid.",Catel.Extensions.Controls,True,2016-11-29T13:35:55.627+00:00,True,,"windows,controls,stackgrid,styles,stylehelper",167785,True,3.0.1204131919-beta
shawnk,2012-04-13T04:47:01.393Z,C# SDK for the ArcGIS Server Admin REST API,ArcGISServerAdminSDK,True,2012-07-02T15:25:55.903-07:00,True,C# SDK for the ArcGIS Server Admin REST API,"ArcGIS,AGS",5177,False,1.1.2-beta
"Ayende Rahien,Corey Kaylor",2012-04-13T21:28:08.263Z,A developer friendly service bus for .NET,Rhino.ServiceBus,False,2013-06-17T09:33:19.997-07:00,True,,"rhino,servicebus,bus,msmq,messaging,cqrs,async,queue,publish,subscribe,pub,sub",74072,False,2.3.1
