structuremap: ['Rebus.StructureMap', 'NServiceBus.StructureMap', 'Nancy.Bootstrappers.StructureMap', 'MassTransit.StructureMap', 'StructureMap.MVC4']
CommandLineParser: ['Microsoft.SqlServer.Types', 'NodaTime', 'Stripe.net', 'Iesi.Collections', 'Mono.Cecil']
EPPlus: ['Excel-DNA', 'ClosedXML', 'ExcelDataReader', 'Aspose.Cells', 'Templater']
iTextSharp: ['iTextSharp-LGPL', 'DoddleReport.iTextSharp', 'Aspose.Pdf', 'DoddleReport', 'ZXing.Net']
Sendgrid: ['Aspose.Email', 'Microsoft.Web.Administration', 'WindowsAzure.ServiceBus', 'jQuery.Validation', 'Microsoft.SqlServer.Types']
AutoFixture: ['AutoFixture.AutoMoq', 'AutoFixture.Xunit', 'AutoFixture.Idioms', 'AutoFixture.AutoRhinoMocks', 'xunit']
BouncyCastle: ['ImageResizer.Plugins.RemoteReader', 'RazorEngine', 'EnterpriseLibrary.Security.Cryptography', 'LINQtoCSV', 'Nancy.Authentication.Forms']
DocumentFormat.OpenXml: ['DoddleReport.OpenXml', 'Microsoft.SqlServer.Types', 'Microsoft.Web.Administration', 'ClosedXML', 'WindowsAzure.ServiceBus']
Iesi.Collections: ['XAct.Collections', 'Microsoft.SqlServer.Types', 'CraigsUtilityLibrary-DataTypes', 'CraigsUtilityLibrary-IO', 'CraigsUtilityLibrary']
elmah: ['elmah.corelibrary', 'Elmah.MVC', 'ServiceStack.Logging.Elmah', 'Elmah.Contrib.Mvc', 'elmah.sqlservercompact']
Castle.Windsor: ['Rebus.Castle.Windsor', 'Castle.LoggingFacility', 'Castle.WcfIntegrationFacility', 'Castle.Core', 'Castle.Core-log4net']
Remotion.Linq: ['System.Web.Providers', 'System.Web.Providers.Core', 'System.Web.Providers.LocalDb', 'System.Linq.Dynamic', 'linq.js']
NuGet.Core: ['NuGet.CommandLine', 'NuGet.Build', 'NuGet.Server', 'chocolatey', 'OctoPack']
ReportGenerator: ['HtmlAgilityPack', 'Templater', 'Ninject.Extensions.Xml', 'Ninject.Web.Common.Xml', 'OpenCover']
MiniProfiler: ['MiniProfiler.MVC3', 'MiniProfiler.EF', 'CSLA-ASP.NET', 'ASP.NET_MVVM_Excalibur', 'ServiceStack.Mvc']
NUnit.Runners: ['NUnit', 'SpecFlow.NUnit', 'SharpArch.Testing.NUnit', 'NUnitLite', 'NUnit.Mocks']
AWSSDK: ['Elastic', 'WindowsAzure.Storage', 'ImageResizer.Plugins.CloudFront', 'Postmark', 'XAct.Services.IoC.Unity']
NLog.Schema: ['NLog.Config', 'ServiceStack.Logging.NLog', 'Castle.Core-NLog', 'NLog.Extended', 'Topshelf.NLog']
Npgsql: ['ServiceStack.OrmLite.PostgreSQL', 'dotConnect.Express.for.PostgreSQL', 'ServiceStack.OrmLite.SqlServer', 'NuGet.Server', 'xmlrpcnet-server']
Quartz: ['NCron', 'Spring.Scheduling.Quartz', 'WebBackgrounder', 'WebBackgrounder.EntityFramework', 'Nancy']
DotNetZip: ['ImageResizer.Plugins.DiskCache', 'WindowsAzure.ServiceBus', 'HtmlAgilityPack', 'CsvHelper', 'ClosedXML']
EnterpriseLibrary.Common: ['Lucene.Net', 'CommonServiceLocator', 'Essential.Diagnostics', 'System.Threading.Tasks', 'Selenium.WebDriver']
NLog.Config: ['NLog.Schema', 'ImageResizer.WebConfig', 'ServiceStack.Logging.NLog', 'Castle.Core-NLog', 'ImageResizer.MvcWebConfig']
SpecFlow: ['SpecFlow.NUnit', 'SpecFlow.Assist.Dynamic', 'Machine.Specifications', 'Pickles', 'Machine.Specifications-Signed']
MongoDB.Driver: ['Rebus.MongoDb', 'mongocsharpdriver', 'MongoDB.Web', 'elmah.mongodb', 'Mdbc']
protobuf-net: ['protobuf-net-data', 'Google.ProtocolBuffers', 'Google.ProtocolBuffersLite', 'ServiceStack.Plugins.ProtoBuf', 'Nancy.Serialization.ProtoBuf']
Unity.Interception: ['Ninject.Extensions.Interception', 'Ninject.Extensions.Interception.DynamicProxy', 'Ninject.Extensions.Interception.Linfu', 'EnterpriseLibrary.PolicyInjection', 'PostSharp']
SimpleInjector: ['SimpleInjector.MVC3', 'TinyIoC', 'structuremap', 'CommonServiceLocator', 'Mono.Cecil']
Topshelf: ['Nancy.Hosting.Self', 'Nancy.Hosting.Aspnet', 'Nancy.Hosting.Wcf', 'Frank', 'NServiceBus.Host']
NodaTime: ['NodaTime.Testing', 'Microsoft.SqlServer.Types', 'CommandLineParser', 'Neo4jClient', 'iTextSharp']
JetBrains.Annotations: ['DataAnnotationsExtensions', 'DataAnnotationsExtensions.MVC3', 'adjunct-JetBrains.Annotations.Core', 'adjunct-JetBrains.Annotations.AspMvc', 'Aspose.Pdf']
PagedList: ['PagedList.Mvc', 'PagedListExt', 'MvcPaging', 'Catel.Extensions.Controls', 'jQuery.UI.Combined']
Lucene.Net: ['Lucene.Net.Contrib', 'dotNetRDF.Query.FullText', 'CommonServiceLocator', 'System.Threading.Tasks', 'WebMatrix.WebData']
AjaxControlToolkit: ['CSLA-ASP.NET', 'Westwind.Web', 'Catel.Extensions.Controls', 'Aspose.Pdf', 'ASP.NET_MVVM_Excalibur']
Twitter.Bootstrap: ['Twitter.Bootstrap.Less', 'MahApps.Twitter.Bootstrap', 'BootstrapTwitter', 'Aperea.Bootstrap', 'Aperea.Bootstrap.Mvc']
System.Linq.Dynamic: ['Microsoft.Web.Administration', 'Remotion.Linq', 'Microsoft.SqlServer.Types', 'FSPowerPack.Linq.Community', 'WindowsAzure.ServiceBus']
Twilio: ['Selenium.Support', 'campaignmonitor-api', 'RestSharp', 'Facebook.Helper', 'Nito.AsyncEx']
ServiceStack.Common: ['ServiceStack.Logging.NLog', 'ServiceStack.Logging.Log4Net', 'ServiceStack.Logging.Elmah', 'ServiceStack.Logging.EventLog', 'ServiceStack']
dotless: ['Twitter.Bootstrap.Less', 'Less.js', 'SquishIt', 'SharpSerializer', 'System.Net.Http']
System.Data.SQLite: ['System.Data.SQLite.x64', 'System.Data.SQLite.x86', 'System.Data.SQLite.MSIL', 'dotConnect.Express.for.SQLite', 'BLToolkit.SQLite']
PagedList.Mvc: ['PagedList', 'PagedListExt', 'MvcPaging', 'Lib.Web.Mvc', 'CSLA-ASP.NET']
Glimpse: ['CSLA-ASP.NET', 'Glimpse.Mvc3', 'ASP.NET_MVVM_Excalibur', 'SimpleInjector.MVC3', 'Microsoft.WebSockets']
AjaxMin: ['ClientDependency', 'BundleTransformer.Core', 'combres', 'RequestReduce', 'RequestReduce.SassLessCoffee']
Unity.WebAPI: ['Autofac.WebApi', 'CSLA-ASP.NET', 'ASP.NET_MVVM_Excalibur', 'Unity.Mvc3', 'netfx-WebApi.JsonNetFormatter']
mongocsharpdriver: ['MongoDB.Driver', 'Rebus.MongoDb', 'MongoDB.Web', 'Simple.Data.MongoDB', 'Mdbc']
FluentNHibernate: ['Caramel.FluentNHibernate', 'LiteFx.NHibernate', 'NHibernate', 'NHibernate.Caches.SysCache', 'gribble.nhibernate']
Ninject.MVC3: ['Ninject', 'Ninject.Extensions.Conventions', 'SimpleInjector.MVC3', 'Ninject.Extensions.NamedScope', 'Ninject.Extensions.Wcf']
StyleCop.MSBuild: ['RazorGenerator.MsBuild', 'roundhouse.msbuild', 'Cassette.MSBuild', 'MSBuildTasks', 'Invoke-Build']
SSH.NET: ['morelinq', 'ZXing.Net', 'Tamir.SharpSSH', 'Glimpse', 'Microsoft.WebSockets']
MvvmLightLibs: ['MvvmLight', 'Extended.Wpf.Toolkit', 'System.Threading.Tasks', 'Catel.MVVM', 'AjaxControlToolkit']
FakeItEasy: ['Simple.Mocking', 'FAKE', 'Moq', 'NSubstitute', 'AutoFixture.AutoMoq']
RhinoMocks: ['Ninject.MockingKernel.RhinoMocks', 'Machine.Fakes.RhinoMocks', 'AutoMapper', 'CsvHelper', 'protobuf-net']
TaskScheduler: ['TaskSchedulerEditor', 'Microsoft.Web.Administration', 'Microsoft.SqlServer.Types', 'WindowsAzure.ServiceBus', 'Microsoft.Web.Infrastructure']
Nancy: ['Nancy.Hosting.Self', 'Nancy.Testing', 'Nancy.Hosting.Aspnet', 'Nancy.Viewengines.Razor', 'Nancy.Bootstrappers.Autofac']
FSharp.Core: ['MathNet.Numerics.FSharp', 'FsUnit', 'FsUnit.xUnit', 'FParsec', 'Soma']
Elmah.MVC: ['Elmah.Contrib.Mvc', 'elmah.corelibrary', 'elmah', 'ServiceStack.Logging.Elmah', 'Glimpse.Elmah']
FAKE: ['netDumbster', 'FakeItEasy', 'Aspose.Tasks', 'NodaTime.Testing', 'Machine.Fakes']
ncrontab: ['Moment.js', 'libphonenumber-csharp', 'Microsoft.Web.Administration', 'Microsoft.SqlServer.Types', 'RazorEngine']
MahApps.Metro: ['MahApps.Metro.Resources', 'MahApps.Metro.Resources.Standalone', 'Caliburn.Micro', 'Elysium.Theme', 'jQuery.UI.Combined']
Shouldly: ['nspec', 'NSubstitute', 'Should', 'ShouldFluent', 'PowerAssert']
AntiXSS: ['ARSoft.Tools.Net', 'Microsoft.Web.Administration', 'jQuery.Validation', 'Microsoft.SqlServer.Types', 'CraigsUtilityLibrary-LDAP']
T4MVC: ['CSLA-ASP.NET', 'ASP.NET_MVVM_Excalibur', 'Cassette.Views', 'DataTables-ASP.NET-MVC', 'MiniProfiler']
PostSharp: ['SNAP.LinFu', 'Ninject.Extensions.Interception.Linfu', 'Gibraltar.Agent.PostSharp', 'SNAP.CastleWindsor', 'SNAP']
