iTextSharp: ['iTextSharp-LGPL', 'DoddleReport.iTextSharp', 'Enumeration', 'DoddleReport', 'nDumbster']
DocumentFormat.OpenXml: ['DoddleReport.OpenXml', 'OxyPlot.OpenXml', 'ClosedXML', 'eBay', 'CUDAfy.NET']
BouncyCastle: ['Tavis.UriTemplates', 'ImapX', 'CryptSharp', 'EnterpriseLibrary.Security.Cryptography', 'CIAPI']
Remotion.Linq: ['SubSonic', 'DynamicLINQ', 'linq.js', 'System.DirectoryServices.Linq', 'Mono.Linq.Expressions']
NuGet.Core: ['OctoPack', 'NuGet.Server', 'NuGet.CommandLine', 'Antlr.Unofficial', 'NuGet.Build']
SpecFlow: ['SpecFlow.Assist.Dynamic', 'Pickles', 'ProSpec', 'SpecFlow.NUnit', 'SpecFlow.xUnit']
Castle.Windsor: ['Castle.WcfIntegrationFacility', 'Rebus.Castle.Windsor', 'Castle.Windsor.Lifestyles', 'Quartz.Windsor', 'SolrNet.Windsor']
ReportGenerator: ['OpenCover', 'Code2Xml', 'Simple.Data.Mocking', 'YAXLib', 'ClosedXML']
Npgsql: ['Xtensive.Orm.PostgreSql', 'dotConnect.Express.for.PostgreSQL', 'ServiceStack.OrmLite.PostgreSQL', 'elmah.postgresql', 'NPoco']
MiniProfiler: ['MiniProfiler.EF', 'MiniProfiler.MVC3', 'Glimpse.MiniProfiler', 'MiniProfiler.RavenDb', 'ServiceStack.Mvc']
Quartz: ['NCron', 'Quartz.Windsor', 'Nancy', 'Topshelf', 'Newtonsoft.Json']
NEST: ['PlainElastic.Net', 'Lucene.Net.Store.Azure', 'Lucene.Net', 'Lucene.Net.Linq', 'Lucene.Net.Contrib']
NUnit.Runners: ['NUnit', 'NUnit.Runners.lite', 'NUnit.Mocks', 'Spring.Testing.NUnit', 'NUnit.Extensions']
AWSSDK: ['parse', 'ImageResizer', 'ImageResizer.Samples.Jcrop', 'ImageResizer.WebConfig', 'ImageResizer.MvcWebConfig']
MongoDB.Driver: ['Rebus.MongoDb', 'mongocsharpdriver', 'MongoDB.Web', 'MongoRepository', 'log4mongo-net']
Microsoft.AspNet.Providers.LocalDb: ['Microsoft.AspNet.Providers.Core', 'Microsoft.AspNet.Providers', 'Microsoft.AspNet.Providers.SqlCE', 'System.Web.Providers', 'System.Web.Providers.Core']
NLog.Schema: ['Topshelf.NLog', 'Common.Logging.NLog20', 'Common.Logging.NLog', 'Gelf4NLog.Target', 'Castle.Core-NLog']
DotNetZip: ['DotNetZip.Reduced', 'SharpGIS.GZipWebClient', 'sharpcompress', 'zlib.net', 'epubReader']
SimpleInjector: ['SimpleInjector.Integration.Web', 'SimpleInjector.Packaging', 'SimpleInjector.Extensions.LifetimeScoping', 'SimpleInjector.MVC3', 'TinyIoC']
angularjs: ['NReadability', 'FormFactory', 'ActionMailer.Standalone', 'PreMailer.Net', 'Codaxy.WkHtmlToPdf']
protobuf-net: ['protobuf-net-data', 'ServiceStack.Plugins.ProtoBuf', 'Google.ProtocolBuffersLite', 'Nancy.Serialization.ProtoBuf', 'Google.ProtocolBuffers']
Microsoft.Composition: ['Microsoft.Web.Infrastructure', 'Microsoft.Experience.CloudFx', 'ExcelDataReader', 'Microsoft.UnitTestFramework.Extensions', 'ExchangeWebServices']
EnterpriseLibrary.Common: ['EnterpriseLibrary.Caching', 'EnterpriseLibrary.Data', 'EnterpriseLibrary.Validation', 'EnterpriseLibrary.Logging', 'EnterpriseLibrary.Security.Cryptography']
NLog.Config: ['Less', 'Web.Optimization', 'ConfigReader', 'NhCodeFirst', 'NLog.Schema']
NodaTime: ['NodaTime.Testing', 'DateTimeExtensions', 'Enumeration', 'FluentDateTime', 'nDumbster']
Unity.Interception: ['Unity', 'Spring.Aop', 'SNAP', 'PostSharp', 'EnterpriseLibrary.PolicyInjection']
JetBrains.Annotations: ['adjunct-JetBrains.Annotations.Core', 'YouTrackSharp', 'Nancy.Validation.DataAnnotations', 'Fleck', 'IronPython.StdLib']
Topshelf: ['Topshelf.Log4Net', 'Topshelf.NLog', 'MassTransit', 'MassTransit.RabbitMQ', 'MassTransit.Log4Net']
AjaxControlToolkit: ['jQuery.Ajax.Unobtrusive', 'Microsoft.jQuery.Unobtrusive.Ajax', 'MvcHaack.Ajax', 'jQuery.UI.Widgets.Autocomplete', 'ScriptSharp']
Lucene.Net: ['Lucene.Net.Store.Azure', 'Lucene.Net.Contrib', 'Lucene.Net.Linq', 'NEST', 'Higgs']
PagedList: ['PagedList.Mvc', 'PagedListExt', 'Unity.Extensions.Lazy', 'TestStack.Seleno', 'MahApps.Metro']
Twilio: ['Hyprlinkr', 'CIAPI', 'FactualDriver', 'Evernote.Core', 'ShortBus']
System.Linq.Dynamic: ['Microsoft.Linq.Translations', 'LinqBridge', 'DynamicLINQ', 'Remotion.Linq', 'FSPowerPack.Linq.Community']
Twitter.Bootstrap: ['Twitter.Bootstrap.Less', 'BootstrapTwitter', 'Bootstrap-Table', 'bootstrap', 'PreMailer.Net']
FSharp.Core: ['AuthorizeNet', 'Unity.Mvc3.DLL', 'MathNet.Numerics.FSharp', 'dropkick', 'CodeFirstStoredProcs']
ServiceStack.Common: ['ServiceStack.Logging.NLog', 'ServiceStack.Logging.Log4Net', 'ServiceStack.Logging.Elmah', 'WebApiContrib.Formatting.ServiceStack', 'ServiceStack.Logging.EventLog']
dotless: ['DotlessClientOnly', 'BundleTransformer.Less', 'AuthorizeNet', 'Unity.Mvc3.DLL', 'Twitter.Bootstrap.Less']
FluentNHibernate: ['NHibernate', 'gribble.nhibernate', 'NHibernate.Caches.SysCache', 'NHibernate.Mapping.Attributes', 'Spring.Data.NHibernate32']
FakeItEasy: ['CIAPI', 'Hyprlinkr', 'FactualDriver', 'ShortBus', 'ShortBus.Markers']
mongocsharpdriver: ['MongoDB.Web', 'MongoRepository', 'Rebus.MongoDb', 'DCouple.Mongo', 'MongoDB.Driver']
System.Data.SQLite: ['System.Data.SQLite.x86', 'System.Data.SQLite.x64', 'System.Data.SQLite.MSIL', 'dotConnect.Express.for.SQLite', 'Simple.Data.Sqlite']
RhinoMocks: ['Machine.Fakes.RhinoMocks', 'developwithpassion.specifications.rhinomocks', 'Ninject.MockingKernel.RhinoMocks', 'Castle.DynamicProxy', 'FormFactory']
PagedList.Mvc: ['PagedList', 'PagedListExt', 'MvcPaging', 'MicrosoftWebMvc', 'Mvc.Jsonp']
Unity.WebAPI: ['AttributeRouting.WebApi', 'Microsoft.AspNet.WebApi.Core', 'Microsoft.AspNet.WebApi.WebHost', 'Microsoft.AspNet.WebApi', 'Ninject.Web.WebApi']
AjaxMin: ['ClientDependency', 'BundleTransformer.MicrosoftAjax', 'WebGrease', 'Rejuicer', 'Meleze.Web']
SSH.NET: ['Enumeration', 'nDumbster', 'Spackle', 'System.Threading.Tasks', 'IKVM']
StyleCop.MSBuild: ['MSBuild.Extension.Pack', 'Cassette.MSBuild', 'NuGet.Build', 'NewRelicWindowsAzure', 'YUICompressor.NET.MSBuild']
MvvmLightLibs: ['MvvmLight', 'ASP.NET_MVVM_Excalibur', 'MugenMVVMToolkit', 'MvvmValidation', 'PixelLab.BOT']
