elmah.corelibrary: ['elmah', 'elmah.sqlserver', 'Elmah.MVC', 'elmah.xml', 'Glimpse.Elmah']
SharpZipLib: ['sharpcompress', 'Noemax.Compression', 'SharpGIS.GZipWebClient', 'iTextSharp', 'iTextSharp-LGPL']
ServiceStack.Text: ['ServiceStack.Host.AspNet', 'ServiceStack.Host.Mvc', 'ServiceStack', 'ServiceStack.Common', 'ServiceStack.Logging.NLog']
OctoPack: ['NuGet.Core', 'NuGet.Server', 'NuGet.Build', 'Antlr.Unofficial', 'NuGet.CommandLine']
CommandLineParser: ['CS-Script', 'Metrics', 'PowerArgs', 'UnconstrainedMelody', 'Hyprlinkr']
RabbitMQ.Client: ['RabbitMQ.ServiceModel', 'MassTransit.RabbitMQ', 'Rebus.RabbitMQ', 'EasyNetQ', 'MassTransit']
NuGet.Build: ['OctoPack', 'NuGet.Core', 'NuGet.Server', 'Antlr.Unofficial', 'NuGet.CommandLine']
Microsoft.Tpl.Dataflow: ['System.Threading.Tasks', 'ExcelDataReader', 'Microsoft.Web.Infrastructure', 'Microsoft.Experience.CloudFx', 'Microsoft.UnitTestFramework.Extensions']
Moment.js: ['Sammy.js', 'Backbone.js', 'mustache.js', 'underscore.js', 'UnderscoreKO']
OpenCover: ['ReportGenerator', 'Spackle', 'FileHelpers', 'NFeature', 'Stripe.net']
MySql.Data: ['MySql.Web', 'MySQL.Data.Entities', 'dotConnect.Express.for.MySQL', 'Simple.Data.Mysql', 'Xtensive.Orm.MySql']
Ninject.Web.Common: ['Ninject.Web', 'Ninject', 'Ninject.Extensions.Conventions', 'Ninject.Extensions.NamedScope', 'Ninject.Extensions.Factory']
Iesi.Collections: ['C5', 'NHibernate.Caches.SysCache2', 'NHibernate.Caches.SysCache', 'NHibernate', 'NHibernate.Castle']
RazorEngine: ['fluent-email', 'RazorGenerator.Templating', 'Handlebars.js', 'ExcelDataReader', 'Microsoft.Web.Infrastructure']
NHibernate: ['NHibernate.Caches.SysCache', 'NHibernate.Castle', 'NHibernate.Caches.SysCache2', 'gribble.nhibernate', 'NHibernate.Mapping.Attributes']
AutoFixture: ['AutoFixture.AutoMoq', 'AutoFixture.AutoRhinoMocks', 'AutoFixture.Idioms', 'AutoFixture.Xunit', 'Hyprlinkr']
structuremap: ['Rebus.StructureMap', 'MassTransit.StructureMap', 'StructureMap.MVC3', 'StructureMap-MVC3', 'StructureMap.MVC4']
elmah: ['elmah.corelibrary', 'elmah.sqlserver', 'Elmah.MVC', 'elmah.xml', 'elmah.sqlservercompact']
EPPlus: ['Excel-DNA', 'ExcelDataReader', 'ClosedXML', 'Templater', 'LinqToExcel']
Sendgrid: ['FactualDriver', 'CIAPI', 'Windows7APICodePack', 'Hyprlinkr', 'campaignmonitor-api']
iTextSharp: ['iTextSharp-LGPL', 'DoddleReport.iTextSharp', 'Enumeration', 'DoddleReport', 'nDumbster']
DocumentFormat.OpenXml: ['DoddleReport.OpenXml', 'OxyPlot.OpenXml', 'ClosedXML', 'eBay', 'CUDAfy.NET']
BouncyCastle: ['Tavis.UriTemplates', 'ImapX', 'CryptSharp', 'Hyprlinkr', 'FactualDriver']
Remotion.Linq: ['SubSonic', 'DynamicLINQ', 'System.Linq.Dynamic', 'linq.js', 'morelinq']
NuGet.Core: ['OctoPack', 'NuGet.Server', 'NuGet.CommandLine', 'NuGet.Build', 'Antlr.Unofficial']
Castle.Windsor: ['Castle.WcfIntegrationFacility', 'Rebus.Castle.Windsor', 'SolrNet.Windsor', 'Castle.Windsor.Lifestyles', 'Quartz.Windsor']
SpecFlow: ['Pickles', 'SpecFlow.Assist.Dynamic', 'ProSpec', 'SpecFlow.NUnit', 'SpecFlow.xUnit']
